id;title;date;description;picture;picture_content_type;content
1;niches Small;2020-02-06T23:06:29;Handcrafted;../fake-data/blob/news.jpg;image/jpg;../fake-data/blob/hipster.txt
2;hack Ergonomic Frozen Mouse internet solution;2020-02-07T10:27:21;index;../fake-data/blob/news.jpg;image/jpg;../fake-data/blob/hipster.txt
3;virtual Ergonomic Steel Table Plastic;2020-02-07T01:32:16;Intuitive;../fake-data/blob/news.jpg;image/jpg;../fake-data/blob/hipster.txt
4;Mobility bricks-and-clicks;2020-02-07T09:54:16;systems Directives synthesizing;../fake-data/blob/news.jpg;image/jpg;../fake-data/blob/hipster.txt
5;Generic Cotton Keyboard bandwidth;2020-02-06T18:18:32;olive;../fake-data/blob/news.jpg;image/jpg;../fake-data/blob/hipster.txt
6;Tasty Rubber Sausages backing up Personal Loan Account;2020-02-07T14:55:31;Latvian Lats synergistic Home Loan Account;../fake-data/blob/news.jpg;image/jpg;../fake-data/blob/hipster.txt
7;process improvement orange;2020-02-07T10:20:45;extensible;../fake-data/blob/news.jpg;image/jpg;../fake-data/blob/hipster.txt
8;Som Granite;2020-02-07T02:05:54;integrate Jewelery;../fake-data/blob/news.jpg;image/jpg;../fake-data/blob/hipster.txt
9;Bedfordshire;2020-02-06T23:05:12;Practical CSS;../fake-data/blob/news.jpg;image/jpg;../fake-data/blob/hipster.txt
10;Unbranded Cotton Cheese cross-platform contextually-based;2020-02-07T14:14:47;Rhode Island Wooden;../fake-data/blob/news.jpg;image/jpg;../fake-data/blob/hipster.txt
